place_overall,place_gender,sex,name,bib,division,half_split,finish
Place Overall,Place Gender,M,,BIB,Division,HALF,Finish
7105,2079,W,"Roegner, Delaney (USA)",38138,20-24,02:01:22,04:02:11
7106,2080,W,"Huebner, Stacey (USA)",18417,45-49,01:56:01,04:02:12
7108,2081,W,"Agran, Erica (USA)",9824,45-49,01:55:43,04:02:12
7109,2082,W,"Bauman, Amanda (USA)",30416,35-39,01:58:51,04:02:12
7110,2083,W,"Rulis, Ashlyn (USA)",28047,25-29,01:58:32,04:02:13
7111,2084,W,"Ovechkina, Natalia (USA)",24266,35-39,01:57:01,04:02:13
7113,2085,W,"Gutierrez, Adriana (USA)",34612,35-39,01:57:01,04:02:14
7116,2086,W,"Perkoski, Christina (USA)",23198,40-44,01:56:39,04:02:16
7118,2087,W,"Crum, Ellen (USA)",23307,30-34,02:00:02,04:02:16
7119,2088,W,"Crum, Mary (USA)",33245,25-29,02:00:02,04:02:17
7122,2089,W,"Caracausa, Corinne (USA)",11377,25-29,01:50:32,04:02:18
7123,2090,W,"Kolesova, Zinaida (RUS)",13637,35-39,01:57:46,04:02:18
7128,2091,W,"Nierman, Payton (USA)",36081,20-24,01:54:04,04:02:21
7129,2092,W,"Van Nijen, Chinouk (NED)",22222,30-34,01:59:42,04:02:21
7131,2093,W,"Kane, Mikaela (USA)",11691,25-29,01:57:09,04:02:23
7137,2094,W,"Carrion, Ana Maria (MEX)",38115,25-29,02:04:30,04:02:24
7138,2095,W,"Hadenfeldt, Kristin (USA)",12802,40-44,01:57:09,04:02:25
7143,2096,W,"Cifuentes, Annabella (GUA)",2786,35-39,01:53:24,04:02:27
7144,2097,W,"Luke, Sarah (USA)",31342,25-29,01:59:04,04:02:27
7146,2098,W,"Schneider, Cathy (USA)",16885,35-39,01:58:49,04:02:28
7148,2099,W,"Sullivan, Katherine (USA)",21411,20-24,01:58:03,04:02:29
7152,2100,W,"Weeden, Josephine (USA)",14544,50-54,01:59:08,04:02:31
7155,2101,W,"Hang, PaFoua (USA)",6778,30-34,01:55:24,04:02:33
7163,2102,W,"Perea, Antoinette (USA)",36058,40-44,01:56:15,04:02:36
7167,2103,W,"Gregory, Sara Rocio (COL)",2407,30-34,01:48:08,04:02:38
7168,2104,W,"Rabade, Martina (ARG)",31452,20-24,01:57:55,04:02:38
7169,2105,W,"Ledwa, Roxanne (USA)",11946,35-39,01:51:20,04:02:39
7170,2106,W,"Bisaga, Kerri (USA)",24253,30-34,01:56:56,04:02:40
7171,2107,W,"Torres Gonzalez, Raquel (MEX)",15733,30-34,01:57:06,04:02:40
7173,2108,W,"Martinez, Elena (USA)",27099,30-34,01:56:09,04:02:41
7174,2109,W,"Lander, Maria (VEN)",33278,45-49,02:01:51,04:02:42
7178,2110,W,"Siladi, Kristina (USA)",10764,35-39,01:58:03,04:02:44
7184,2111,W,"Castanon, Maria Fernanda (MEX)",31216,20-24,01:54:49,04:02:46
7185,2112,W,"Reed, Kathleen (USA)",25038,35-39,02:00:45,04:02:46
7190,2113,W,"Verstegen, Chelsea (USA)",25044,25-29,01:55:24,04:02:48
7191,2114,W,"Byrne, Casey (USA)",8908,30-34,01:55:43,04:02:49
7194,2115,W,"Cormier, Mary (USA)",23764,30-34,01:56:21,04:02:52
7197,2116,W,"Garza, Irma (USA)",6452,25-29,01:47:09,04:02:52
7201,2117,W,"King, Cassandra (USA)",35204,35-39,01:54:23,04:02:54
7206,2118,W,"Steincamp, Tomomi (JPN)",28057,50-54,01:54:42,04:02:56
7207,2119,W,"Cuomo maier, Marianna (USA)",34909,20-24,01:58:31,04:02:56
7208,2120,W,"Fournier, Elizabeth (USA)",13588,25-29,01:54:46,04:02:57
7209,2121,W,"Cabrera ponce, Sofia (MEX)",22004,40-44,01:58:39,04:02:57
7213,2122,W,"Peterson, Porter (USA)",9741,45-49,01:50:11,04:03:00
7216,2123,W,"Polonus, Emily (USA)",15709,20-24,01:53:52,04:03:02
7228,2124,W,"Albuquerque, Rebecca (BRA)",35597,45-49,01:59:37,04:03:04
7233,2125,W,"Avina, Patricia (MEX)",21362,40-44,01:55:40,04:03:08
7236,2126,W,"Lyda, Anna (USA)",21420,19 and under,01:58:38,04:03:09
7239,2127,W,"Machado, Livia (BRA)",11782,35-39,01:59:32,04:03:10
7241,2128,W,"Hueber, Lauren (USA)",15517,35-39,01:56:16,04:03:11
7242,2129,W,"Eccleton, Kristen (USA)",33097,30-34,01:55:00,04:03:11
7243,2130,W,"Crowell, Adrianna (USA)",7909,35-39,01:56:38,04:03:12
7245,2131,W,"Roche, Perrine (CAN)",19685,35-39,01:54:54,04:03:13
7251,2132,W,"Botti, Allison (USA)",9537,30-34,01:53:51,04:03:14
7253,2133,W,"Horwitz, Mara (USA)",31301,35-39,01:55:30,04:03:14
7257,2134,W,"Liebeskind, Molly (USA)",25668,25-29,01:59:27,04:03:16
7258,2135,W,"Saleh, Hind (USA)",34243,25-29,02:01:19,04:03:17
7261,2136,W,"Simer, Susanna (USA)",13869,45-49,01:51:32,04:03:18
7264,2137,W,"Turner, Morgan (USA)",33187,25-29,01:52:45,04:03:19
7265,2138,W,"Miller, Elizabeth (USA)",14277,35-39,01:52:17,04:03:19
7266,2139,W,"Tadokoro, Melissa (USA)",11626,50-54,01:57:01,04:03:19
7267,2140,W,"Ciesla, Maria (USA)",24334,40-44,01:56:29,04:03:20
7270,2141,W,"Patton, Kate (USA)",6895,35-39,01:54:40,04:03:21
7271,2142,W,"Rivera, Rachel (USA)",16991,35-39,01:47:14,04:03:21
7275,2143,W,"Wittleder, Hannah (USA)",10705,25-29,02:01:32,04:03:22
7277,2144,W,"Relyea, K Michelle (USA)",14605,45-49,01:54:41,04:03:23
7278,2145,W,"Bartlett, Melissa (USA)",13551,35-39,01:54:34,04:03:25
7279,2146,W,"Adame, Rebecca (USA)",34251,25-29,01:57:34,04:03:26
7282,2147,W,"Cross, Leslie (USA)",25213,30-34,02:02:58,04:03:26
7283,2148,W,"MacCourtney, Caitlin (USA)",28160,35-39,01:57:02,04:03:27
7285,2149,W,"Bugelholl, Katherine (USA)",22166,25-29,01:52:41,04:03:27
7286,2150,W,"Pagano, Madeline (USA)",30438,40-44,01:59:43,04:03:27
7287,2151,W,"Cassidy, Amanda (USA)",13491,35-39,02:01:26,04:03:27
7289,2152,W,"Martinez, Sandra (MEX)",11806,35-39,01:55:55,04:03:28
7297,2153,W,"Leal, Julieta (MEX)",4836,45-49,01:58:08,04:03:32
7300,2154,W,"Taing, Judy (USA)",14049,35-39,01:51:08,04:03:32
7302,2155,W,"Petrunich, Beth (USA)",43304,25-29,01:56:06,04:03:33
7306,2156,W,"Molina Estrada, Maria Fernanda (MEX)",21343,30-34,01:54:10,04:03:34
7307,2157,W,"Stevenson, Abigail (USA)",5518,40-44,01:51:31,04:03:34
7309,2158,W,"Charron, Melissa (USA)",29357,25-29,01:57:07,04:03:36
7310,2159,W,"Maze, Brianna (USA)",12505,25-29,01:52:13,04:03:37
7311,2160,W,"Nelson, Dawn (USA)",13987,55-59,01:58:57,04:03:37
7314,2161,W,"Baltutat, Bethany (USA)",17412,30-34,01:57:40,04:03:39
7316,2162,W,"Kosinski, Nicole (USA)",44141,20-24,01:54:28,04:03:39
7318,2163,W,"Fisher, Tamra (USA)",13510,40-44,01:55:50,04:03:41
7320,2164,W,"Ramsey, Janet (USA)",12326,35-39,01:58:50,04:03:41
7322,2165,W,"Brzozowski, Elizabeth (USA)",33733,25-29,01:56:16,04:03:41
7323,2166,W,"Zuniga, Valeria (MEX)",16048,25-29,01:58:37,04:03:41
7326,2167,W,"Jordan, Shannon (USA)",29313,40-44,01:54:53,04:03:42
7327,2168,W,"Daniels, Kaela (USA)",12559,30-34,01:53:05,04:03:42
7329,2169,W,"Kelley, Barbara (USA)",24267,30-34,01:58:39,04:03:43
7331,2170,W,"Ruby, Sydney (USA)",16146,25-29,01:48:17,04:03:43
7332,2171,W,"Gennusa, Linda (USA)",11867,50-54,01:50:37,04:03:45
7335,2172,W,"Urquiza, Mariana (MEX)",21373,20-24,01:58:53,04:03:46
7336,2173,W,"O'Brien, Fiona (USA)",31045,20-24,01:54:22,04:03:46
7337,2174,W,"Edwards, Catalina (CHI)",2612,40-44,01:51:30,04:03:46
7341,2175,W,"Voigt, Noel (USA)",27015,25-29,01:57:18,04:03:48
7345,2176,W,"Ma, Tiffany (AUS)",32365,35-39,02:04:37,04:03:50
7346,2177,W,"Folkmann, Beth (USA)",11370,40-44,01:54:39,04:03:50
7350,2178,W,"Sawyer, Melissa (USA)",32043,25-29,01:53:56,04:03:52
7351,2179,W,"Yoder, Lindsey (USA)",30094,35-39,01:54:05,04:03:54
7353,2180,W,"Hong, Alice (USA)",7844,40-44,01:54:58,04:03:54
7354,2181,W,"Trojanowski, Elise (USA)",16729,30-34,01:48:57,04:03:54
7355,2182,W,"Filippelli, Justine (USA)",30115,35-39,01:55:09,04:03:55
7361,2183,W,"Gallo, Maria Jose (ARG)",1636,45-49,01:54:53,04:03:56
7365,2184,W,"Clay, Samantha (CAN)",19387,30-34,01:59:22,04:03:58
7370,2185,W,"Marchuk, Stephanie (USA)",16538,25-29,01:50:17,04:04:00
7371,2186,W,"Palmeri, Stacy (USA)",13673,30-34,02:02:03,04:04:00
7372,2187,W,"Sweeney, Lauren (USA)",6991,25-29,01:57:14,04:04:00
7373,2188,W,"Aguilar, Marianne (USA)",8252,25-29,,04:04:01
7377,2189,W,"Azuela, Ana (MEX)",21358,35-39,01:54:58,04:04:02
7378,2190,W,"Deioma, Annie (USA)",14562,55-59,02:00:54,04:04:03
7384,2191,W,"Villalobos, Shelley (USA)",23933,30-34,01:57:38,04:04:05
7385,2192,W,"Lembo, Nancy (USA)",36080,55-59,01:57:24,04:04:05
7387,2193,W,"Robinson, Ellen (USA)",10831,25-29,01:56:50,04:04:06
7390,2194,W,"Krieger, Kristin (USA)",14446,35-39,01:53:33,04:04:07
7391,2195,W,"Ramirez Barron, Itzel (MEX)",3928,35-39,01:51:24,04:04:08
7392,2196,W,"Schroeder, Libby (USA)",14955,40-44,01:56:54,04:04:08
7394,2197,W,"Crockett, Haley (USA)",13957,30-34,01:56:00,04:04:08
7398,2198,W,"Shurlow, Gail (USA)",33094,50-54,01:58:04,04:04:08
7400,2199,W,"Jaenicke, Olivia (USA)",14400,20-24,01:52:56,04:04:08
7404,2200,W,"Gutierrez, Juanita (COL)",19192,25-29,01:58:26,04:04:09
7405,2201,W,"Bellgraph, Samantha (USA)",9604,30-34,01:54:40,04:04:10
7406,2202,W,"Rush, Joan (USA)",17405,60-64,01:59:27,04:04:10
7407,2203,W,"Cortez, Romana (MEX)",6763,40-44,01:58:43,04:04:10
7410,2204,W,"Mayschak, Sophie (FRA)",14333,40-44,01:48:48,04:04:11
7411,2205,W,"Arevalo, Anika (USA)",14737,30-34,01:54:08,04:04:11
7412,2206,W,"Hentze, Heather (USA)",11938,40-44,01:53:57,04:04:11
7414,2207,W,"Zainea, Anaiah (USA)",37009,25-29,01:50:36,04:04:12
7415,2208,W,"Tracey, Heather (USA)",26001,40-44,01:54:05,04:04:12
7417,2209,W,"Castro, Monica (USA)",12600,35-39,01:58:49,04:04:13
7418,2210,W,"Natali, Nicolle (USA)",16840,25-29,01:54:19,04:04:13
7420,2211,W,"Hancock, Elizabeth (USA)",15959,35-39,01:53:38,04:04:14
7422,2212,W,"Rodriguez, Ana Laura (MEX)",21274,40-44,02:01:42,04:04:14
7423,2213,W,"Blue, Julia (USA)",20950,30-34,01:58:48,04:04:14
7427,2214,W,"Roche, Sabrina (USA)",33737,20-24,01:59:52,04:04:15
7428,2215,W,"Johnson, Sarah (USA)",14516,30-34,01:56:42,04:04:15
7430,2216,W,"Wlodarski, Nicole (USA)",10755,20-24,01:53:49,04:04:16
7433,2217,W,"Boehler, Katherine (USA)",11801,30-34,01:49:57,04:04:18
7434,2218,W,"Bigio, Jessica (USA)",7067,35-39,01:43:33,04:04:18
7440,2219,W,"Rosenfield, Laura (USA)",27532,40-44,01:59:16,04:04:22
7444,2220,W,"Butzine, Melissa (USA)",10790,30-34,01:46:29,04:04:24
7446,2221,W,"Gannon, Nellie (USA)",16181,25-29,01:49:04,04:04:26
7449,2222,W,"Miller, Katie (USA)",33375,20-24,01:57:41,04:04:26
7450,2223,W,"Bruns, Janae (USA)",12850,30-34,01:50:52,04:04:28
7451,2224,W,"Jacobs, Kate (USA)",34346,20-24,01:51:55,04:04:30
7452,2225,W,"DeLisle, Katherine (USA)",8825,30-34,02:00:07,04:04:30
7454,2226,W,"Yip, Wendy (USA)",14311,40-44,01:57:47,04:04:30
7455,2227,W,"Girmscheid, Savannah (USA)",46063,25-29,01:58:38,04:04:31
7456,2228,W,"Lim, Teresa (USA)",25654,35-39,01:57:55,04:04:31
7461,2229,W,"Bonilla, Brenda (MEX)",22537,30-34,01:50:46,04:04:34
7465,2230,W,"Larrey, Leann (USA)",14694,45-49,01:57:26,04:04:36
7466,2231,W,"Newton, Kayla (USA)",36190,30-34,01:57:50,04:04:37
7469,2232,W,"Hovanec, Emma (USA)",44344,20-24,02:01:47,04:04:39
7472,2233,W,"Yoon, Jenny (USA)",13766,45-49,01:50:15,04:04:39
7477,2234,W,"Howe, Pamela (USA)",13599,55-59,01:53:06,04:04:41
7479,2235,W,"Grandgeorge, Marcy (USA)",6940,55-59,01:53:52,04:04:41
7483,2236,W,"Gonzalez guerrero, Indira (MEX)",27351,30-34,01:50:27,04:04:43
7484,2237,W,"Crippin, Sarah (USA)",5506,25-29,01:48:34,04:04:43
7486,2238,W,"Gallegos Sifuentes, Manuela (MEX)",21289,55-59,01:55:13,04:04:44
7487,2239,W,"Echeverry, Paula (COL)",2662,40-44,02:07:32,04:04:45
7489,2240,W,"Rule, Lindsay (USA)",38143,35-39,01:57:50,04:04:46
7490,2241,W,"Drew, Kelly (USA)",16553,35-39,02:01:54,04:04:46
7500,2242,W,"Yanes, Marcella (USA)",29542,30-34,01:59:21,04:04:50
7503,2243,W,"Kulikauskas, Melissa (USA)",37137,25-29,01:56:12,04:04:52
7507,2244,W,"Matheson, Anna (CAN)",1946,50-54,01:54:58,04:04:53
7510,2245,W,"Nicholson, Marjorie (USA)",32239,65-69,01:54:18,04:04:57
7512,2246,W,"Aguirre, Veronica (MEX)",29048,35-39,01:42:48,04:04:57
7513,2247,W,"Delsener, Kathleen (USA)",23712,25-29,01:59:50,04:04:58
7523,2248,W,"Bowlick, Alison (USA)",14450,45-49,01:54:18,04:05:03
7529,2249,W,"Muriel, Maribel (PUR)",23367,45-49,01:56:37,04:05:04
7534,2250,W,"Reinhardt, Karyn (USA)",12356,40-44,01:56:36,04:05:06
7535,2251,W,"Williams, Sarah (GBR)",12355,40-44,01:57:25,04:05:07
7537,2252,W,"Perez, Karla (USA)",25064,25-29,01:51:07,04:05:08
7539,2253,W,"Bonder, Samantha (USA)",17297,30-34,01:57:00,04:05:10
7541,2254,W,"Palomeque Pico, Ana Gabriela (ECU)",22414,30-34,01:56:56,04:05:10
7543,2255,W,"Perales Rivera, Ana Cecilia (MEX)",2588,40-44,01:53:57,04:05:11
7546,2256,W,"Robison, Kristen (USA)",8407,35-39,01:43:54,04:05:12
7547,2257,W,"Wondra, Rebecca (USA)",27498,35-39,01:57:35,04:05:12
7549,2258,W,"Gomez, Magaly (USA)",5766,35-39,01:59:38,04:05:15
7551,2259,W,"Roudebush, Trena (USA)",11422,45-49,01:54:48,04:05:15
7553,2260,W,"Garza Cordoba, Fernanda (MEX)",19884,25-29,01:57:23,04:05:16
7558,2261,W,"Grewal, Simer (USA)",21932,25-29,02:01:03,04:05:17
7567,2262,W,"Huaylla, Katy (PER)",4658,40-44,01:54:04,04:05:19
7568,2263,W,"Chernyshova, Oleksandra (UKR)",29049,30-34,02:00:37,04:05:20
7569,2264,W,"Leal, Priscila (MEX)",39209,25-29,02:03:38,04:05:20
7570,2265,W,"Mino, Daniela (ECU)",20331,35-39,02:01:41,04:05:20
7571,2266,W,"Montes, Irma (MEX)",6975,45-49,01:59:26,04:05:20
7572,2267,W,"Kramer, Regina (USA)",9674,40-44,01:57:14,04:05:20
7574,2268,W,"Malkowski, Sarah (USA)",35689,30-34,01:59:29,04:05:21
7575,2269,W,"Ray, Elizabeth (USA)",30032,20-24,01:59:43,04:05:21
7578,2270,W,"Martinez, Ana (USA)",15529,40-44,01:56:42,04:05:22
7580,2271,W,"DeWolf, Rachel (USA)",28018,30-34,01:56:37,04:05:24
7581,2272,W,"Cloughley, Megan (USA)",13494,25-29,01:48:17,04:05:24
7583,2273,W,"Sheridan, Margaret (USA)",15212,60-64,02:00:18,04:05:25
7586,2274,W,"Costello, Maggie (USA)",29530,25-29,01:54:19,04:05:26
7592,2275,W,"Badillo, Linda (MEX)",21192,25-29,01:57:06,04:05:28
7611,2276,W,"Colunga, Jimena (MEX)",22582,30-34,01:59:34,04:05:34
7613,2277,W,"Rodrigues Fernandes, Elena (VEN)",34470,40-44,02:04:51,04:05:35
7617,2278,W,"Carroll, Kylie (USA)",19235,19 and under,01:57:04,04:05:36
7619,2279,W,"Bourianova, Nadiya (UKR)",26150,35-39,01:57:18,04:05:37
7623,2280,W,"Burke, Pamela (USA)",11823,45-49,01:58:28,04:05:37
7624,2281,W,"Malek, Sarah (USA)",24555,25-29,02:04:16,04:05:38
7625,2282,W,"Gould, Laura (USA)",9855,45-49,01:58:16,04:05:38
7626,2283,W,"Harrell, Emily (USA)",32280,20-24,01:53:07,04:05:38
7631,2284,W,"Gillie, Taylor (USA)",13862,25-29,01:53:56,04:05:40
7633,2285,W,"To, Catherine (GBR)",6793,35-39,01:44:42,04:05:41
7639,2286,W,"Ramirez, Diana (COL)",7819,50-54,01:54:37,04:05:44
7642,2287,W,"Kirchhoff, Crystal (USA)",34122,25-29,02:06:50,04:05:46
7643,2288,W,"McBride, Meredith (USA)",24108,30-34,01:45:52,04:05:47
7644,2289,W,"Babayan, Benedicte (GBR)",23101,30-34,01:54:36,04:05:47
7645,2290,W,"Tesher, Olivia (USA)",14445,20-24,01:53:38,04:05:48
7646,2291,W,"Dunne, Margaret (USA)",26122,25-29,01:55:38,04:05:49
7650,2292,W,"Hrehor, Sarah (USA)",31280,25-29,01:57:17,04:05:50
7651,2293,W,"Kenny, Kaylin (USA)",33939,20-24,02:02:41,04:05:50
7653,2294,W,"Steiner, Lena (USA)",24335,35-39,01:56:18,04:05:51
7654,2295,W,"Bromm, Carter (USA)",26402,20-24,02:03:11,04:05:51
7655,2296,W,"Evers, Tanya (USA)",14428,40-44,01:47:40,04:05:52
7657,2297,W,"Knowles, Janet (USA)",11739,45-49,02:00:05,04:05:52
7658,2298,W,"Joe, Cindy (USA)",33593,35-39,02:01:07,04:05:52
7659,2299,W,"Lopez, Daniela (CRC)",2863,30-34,02:03:31,04:05:52
7661,2300,W,"McCarthy, Holly (USA)",14907,25-29,01:56:00,04:05:53
7662,2301,W,"Barkshire, Shelby (USA)",13951,40-44,01:55:50,04:05:55
7663,2302,W,"McNabb, Stephanie (USA)",11394,35-39,01:51:19,04:05:55
7666,2303,W,"Schneider, Erin (USA)",12449,40-44,01:54:03,04:05:55
7667,2304,W,"Lusby, Heidi (USA)",12448,50-54,01:50:54,04:05:56
7670,2305,W,"Walters, Carrie (USA)",35424,25-29,02:01:24,04:05:56
7672,2306,W,"De Leon, Veronica (MEX)",3990,40-44,01:58:40,04:05:58
7674,2307,W,"Saenz Fernandez, Francella (CRC)",17403,30-34,01:58:11,04:05:59
7676,2308,W,"Malcotti, Laine (USA)",11561,55-59,02:00:41,04:05:59
7679,2309,W,"Reimann, Brynn (USA)",35044,35-39,01:59:24,04:05:59
7681,2310,W,"Wright, Madeline (USA)",25048,30-34,01:53:58,04:06:01
7689,2311,W,"Zimmerman, Katherine (USA)",15116,30-34,01:51:28,04:06:03
7691,2312,W,"Layug, Lilet (USA)",27033,30-34,01:59:23,04:06:04
7694,2313,W,"Miranda, Gabriela (MEX)",3757,30-34,01:51:37,04:06:06
7700,2314,W,"Findlay, Abigail (USA)",11684,40-44,01:50:18,04:06:09
7703,2315,W,"Wilson, Jessica (USA)",11717,35-39,01:51:31,04:06:09
7705,2316,W,"Cirovski, Karli (USA)",11840,25-29,02:05:32,04:06:10
7711,2317,W,"Cervantes Mejia, Paulina (MEX)",2846,35-39,02:04:24,04:06:12
7713,2318,W,"Roy, Amanda (USA)",12875,40-44,01:51:43,04:06:13
7714,2319,W,"Achong, Heidi (TRI)",2860,40-44,02:04:24,04:06:13
7715,2320,W,"Kito, Naoko (JPN)",9438,40-44,01:51:03,04:06:13
7716,2321,W,"Balma, Ana (CRC)",17391,50-54,02:00:17,04:06:13
7718,2322,W,"Donnelly, Erica (USA)",32094,30-34,01:54:59,04:06:14
7723,2323,W,"Bukis, Katherine (USA)",14355,25-29,02:04:07,04:06:15
7726,2324,W,"Boone, Elizabeth (USA)",46558,40-44,01:52:35,04:06:17
7729,2325,W,"Martin, Rachel (USA)",13453,40-44,01:54:30,04:06:18
7737,2326,W,"Huff, Acacia (USA)",14649,30-34,01:54:21,04:06:24
7741,2327,W,"Maciel, Melanie (USA)",11660,45-49,01:57:55,04:06:26
7743,2328,W,"Urdinola, Paola (COL)",20245,40-44,01:57:48,04:06:27
7744,2329,W,"Kovachevich, Elvira (USA)",26264,20-24,01:54:18,04:06:29
7746,2330,W,"Lares, Mary (COL)",11478,45-49,01:50:28,04:06:29
7747,2331,W,"Chruniak, Amy (USA)",37602,35-39,01:55:52,04:06:30
7749,2332,W,"Zogorski, Valene (USA)",25200,40-44,01:58:47,04:06:34
7754,2333,W,"Dixon, Amy (USA)",18406,30-34,02:00:50,04:06:35
7758,2334,W,"Bzdell, Paula (CAN)",1774,45-49,01:55:54,04:06:37
7759,2335,W,"Plummer, Stephanie (USA)",14433,35-39,01:57:12,04:06:37
7761,2336,W,"Jamerson, Charmaine (USA)",15402,55-59,01:59:14,04:06:38
7762,2337,W,"Cornelius, Sara (USA)",32387,35-39,01:58:35,04:06:38
7763,2338,W,"Bermudez, Laura (USA)",4681,30-34,02:01:31,04:06:38
7770,2339,W,"LeTourneau, Elizabeth (USA)",13747,35-39,01:57:20,04:06:40
7773,2340,W,"Lillis, Teresa (USA)",8667,35-39,01:58:05,04:06:42
7775,2341,W,"Carrarini, Kristin (USA)",34214,30-34,01:56:47,04:06:43
7778,2342,W,"Furr, Suzanne (USA)",29414,60-64,02:02:21,04:06:43
7779,2343,W,"Scherer, Lauren (USA)",27060,30-34,01:54:30,04:06:44
7782,2344,W,"Reilly, Hailey (USA)",35186,25-29,01:57:03,04:06:46
7784,2345,W,"Teevan, Shevaun (USA)",13507,45-49,01:53:36,04:06:46
7787,2346,W,"Wellman, Melissa (USA)",30743,30-34,01:59:32,04:06:48
7788,2347,W,"Meyer, Claudette (USA)",16500,45-49,01:53:26,04:06:48
7790,2348,W,"Dougherty, Colleen (USA)",24368,25-29,02:03:57,04:06:49
7791,2349,W,"Pozsgai, Megan (USA)",26331,25-29,01:57:01,04:06:49
7792,2350,W,"Pyle, Mary (USA)",35272,20-24,01:57:27,04:06:50
7793,2351,W,"McCarthy, Laura (USA)",10571,35-39,01:47:56,04:06:50
7799,2352,W,"Cubel, Stephanie (USA)",12828,25-29,02:01:48,04:06:52
7803,2353,W,"Weller, Maria (USA)",14912,55-59,01:58:08,04:06:53
7804,2354,W,"Espinosa, Veronica (ECU)",20330,40-44,01:54:56,04:06:53
7805,2355,W,"Kamali, Negar (IRI)",31100,30-34,01:56:14,04:06:54
7808,2356,W,"Rubio Suastegui, Laura Elena (MEX)",3696,45-49,01:59:37,04:06:56
7812,2357,W,"Horney, Katie (USA)",28212,35-39,01:54:27,04:06:57
7817,2358,W,"Robbs, Cynthia (USA)",7708,50-54,01:51:46,04:07:00
7819,2359,W,"Pineiro, Elizabeth (USA)",27918,45-49,02:01:27,04:07:01
7820,2360,W,"Parker, December (USA)",35680,35-39,02:03:34,04:07:01
7823,2361,W,"Belyaeva, Yulia (RUS)",4941,35-39,01:57:34,04:07:02
7824,2362,W,"O'Donnell, Clare (USA)",33058,25-29,01:38:54,04:07:03
7825,2363,W,"Gualtieri, Amy (USA)",20844,35-39,02:03:58,04:07:04
7827,2364,W,"Fowler, Tara (USA)",12367,30-34,01:43:10,04:07:06
7829,2365,W,"Tucic, Margaret (USA)",28658,60-64,02:03:57,04:07:07
7834,2366,W,"Lapinski, Cathy (USA)",16812,45-49,01:55:36,04:07:09
7838,2367,W,"Wojcik, Jacqueline (USA)",14244,25-29,01:51:33,04:07:12
7840,2368,W,"Skoczylas, Rebecca (USA)",32226,40-44,02:01:27,04:07:15
7843,2369,W,"Hoefer, Laura (USA)",25526,25-29,01:59:52,04:07:16
7845,2370,W,"Silva, Erika (MEX)",19878,35-39,02:00:49,04:07:18
7846,2371,W,"Foil, Jennifer (USA)",9966,50-54,01:57:45,04:07:18
7848,2372,W,"Rials, Elizabeth (USA)",33598,35-39,01:56:00,04:07:20
7849,2373,W,"Abuyeres cabrer, Claudia (CHI)",20220,55-59,02:02:14,04:07:21
7852,2374,W,"Nagele, Angelika (USA)",26234,40-44,01:58:08,04:07:21
7856,2375,W,"Meza, Elizabeth (MEX)",14877,45-49,01:59:35,04:07:23
7858,2376,W,"Shojaee, Sara (USA)",18494,25-29,02:05:15,04:07:24
7859,2377,W,"Kepler, Linda (CAN)",1732,55-59,02:02:02,04:07:24
7865,2378,W,"Lu, Lifen (CAN)",27786,50-54,02:02:29,04:07:25
7866,2379,W,"Young, Angela (USA)",32732,40-44,01:55:46,04:07:26
7868,2380,W,"Neto, Eponina (BRA)",13484,40-44,01:55:55,04:07:27
7869,2381,W,"Smith, Darci (USA)",16544,30-34,01:50:50,04:07:27
7870,2382,W,"Zacatzi, Ana (MEX)",16194,30-34,01:49:24,04:07:28
7877,2383,W,"Conwell, Tania (USA)",38194,45-49,02:00:25,04:07:31
7879,2384,W,"Fiscus, Alecia (USA)",33319,25-29,01:55:30,04:07:32
7881,2385,W,"Dughi, Meghan (USA)",32023,40-44,01:55:49,04:07:32
7882,2386,W,"Maurer, Maria Jose (MEX)",21367,25-29,01:57:17,04:07:33
7883,2387,W,"Arena, Laura (USA)",11636,50-54,01:54:15,04:07:34
7884,2388,W,"Romano, Jennifer (USA)",27246,45-49,01:57:18,04:07:35
7886,2389,W,"Torres, Maria (USA)",13819,45-49,02:00:52,04:07:37
7890,2390,W,"Fletcher, Marissa (USA)",7911,30-34,01:57:16,04:07:38
7893,2391,W,"Pojar, Florentina (USA)",17427,30-34,01:54:31,04:07:39
7894,2392,W,"Freidl, Eve (USA)",23741,40-44,01:56:55,04:07:39
7900,2393,W,"Elias, Angeles (ARG)",13614,25-29,01:55:05,04:07:41
7902,2394,W,"Schick, Maureen (USA)",28286,20-24,01:53:59,04:07:42
7913,2395,W,"Smith, Rachel (USA)",24020,25-29,01:54:45,04:07:46
7914,2396,W,"DePaola, Riley (USA)",33675,25-29,02:06:39,04:07:46
7921,2397,W,"Cohn, Shawna (USA)",16379,35-39,01:58:58,04:07:48
7923,2398,W,"Hepp, Heather (USA)",14553,45-49,02:02:42,04:07:48
7929,2399,W,"Schafer, Maria (USA)",11429,25-29,01:55:28,04:07:51
7931,2400,W,"Klofas, Jocelyn (USA)",24390,25-29,02:00:05,04:07:54
7932,2401,W,"Menclewicz, Jennifer (USA)",13921,35-39,01:52:33,04:07:54
7938,2402,W,"Hamilton, Chelsea (USA)",15258,40-44,01:59:44,04:07:58
7941,2403,W,"Trasatti, Emma (USA)",34504,20-24,01:58:03,04:07:59
7942,2404,W,"Hudson, Melissa (USA)",33540,35-39,02:00:47,04:08:00
7945,2405,W,"Tanaka, Yoshie (JPN)",24767,35-39,01:59:38,04:08:03
