place_overall,place_gender,sex,name,bib,division,half_split,finish
Place Overall,Place Gender,M,,BIB,Division,HALF,Finish
376,327,M,"Ellis, Thomas (USA)",10100,40-44,01:19:06,02:52:33
378,328,M,"Castillo, Diego (MEX)",3462,35-39,01:25:15,02:52:39
380,329,M,"Victor Baldin, Lucas (BRA)",2103,30-34,01:23:40,02:52:44
381,330,M,"Collins, Matt (USA)",449,30-34,01:21:58,02:52:45
382,331,M,"Diamond, Matthew (USA)",5025,35-39,01:21:22,02:52:46
383,332,M,"Wardian, Michael (USA)",686,45-49,01:19:34,02:52:47
384,333,M,"Landwehr, Ian (USA)",6588,20-24,01:26:39,02:52:48
385,334,M,"Laffey, Sean (USA)",4262,30-34,01:26:13,02:52:49
386,335,M,"Furler, Mark (USA)",6110,35-39,01:20:17,02:52:50
387,336,M,"Mulvihill, Fearghal (IRL)",8376,35-39,01:26:36,02:52:50
388,337,M,"Manavi, Reza (USA)",10144,40-44,01:25:52,02:52:56
389,338,M,"Gomez Rosenkranz, Alejandro (MEX)",2080,25-29,01:23:47,02:52:58
390,339,M,"Lorfeld, Luke (USA)",5180,25-29,01:18:31,02:53:03
392,340,M,"Serrano Gonzalez, Diego Alejandro (MEX)",2119,40-44,01:24:43,02:53:05
393,341,M,"Mollway, Josh (USA)",8553,20-24,01:27:48,02:53:08
394,342,M,"Matos, Christopher (USA)",3342,30-34,01:23:21,02:53:09
395,343,M,"Burke, Brian (USA)",7151,45-49,01:23:32,02:53:11
396,344,M,"Bell, Finlay (GBR)",7140,35-39,01:20:22,02:53:15
397,345,M,"Fernandez Ramirez, Lucas (CRC)",1145,40-44,01:26:09,02:53:15
